                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.32415,                0.20721,                0.79868,                0.68134,                0.50732,                 0.5601,                0.37746,                0.96775,                0.71321,                 1.0194,             7.1936e-05,             7.1936e-05,             7.1936e-05
                    111,                0.73532,                0.42721,                0.88908,                0.66689,                0.51555,                0.56186,                0.37781,                 0.9687,                0.70256,                 1.0175,             6.6045e-05,             6.6045e-05,             6.6045e-05
                    112,                0.72317,                   0.41,                0.88401,                 0.6883,                0.50351,                0.56146,                0.37759,                0.96955,                0.70025,                 1.0166,             6.0154e-05,             6.0154e-05,             6.0154e-05
                    113,                0.72788,                0.41086,                0.88463,                0.69191,                0.50226,                0.56078,                0.37728,                0.97049,                0.69965,                 1.0169,             5.4264e-05,             5.4264e-05,             5.4264e-05
                    114,                0.71167,                 0.4002,                 0.8762,                0.69067,                0.50275,                0.56296,                0.37882,                0.97007,                0.69872,                 1.0163,             4.8374e-05,             4.8374e-05,             4.8374e-05
                    115,                0.71775,                0.40741,                0.87687,                0.68995,                0.50298,                0.56284,                0.37912,                0.97023,                0.69775,                 1.0162,             4.2483e-05,             4.2483e-05,             4.2483e-05
                    116,                0.70115,                0.39667,                0.87434,                0.69605,                0.50046,                0.56479,                0.37988,                0.97039,                0.69788,                 1.0161,             3.6592e-05,             3.6592e-05,             3.6592e-05
                    117,                0.70099,                0.39727,                0.87671,                0.68906,                0.50386,                0.56413,                0.37973,                0.97031,                0.69767,                 1.0162,             3.0702e-05,             3.0702e-05,             3.0702e-05
                    118,                0.69734,                0.38892,                0.87274,                0.68684,                0.50377,                0.56421,                0.37952,                 0.9711,                0.69787,                 1.0168,             2.4812e-05,             2.4812e-05,             2.4812e-05
                    119,                0.68777,                0.38535,                0.86954,                0.66622,                0.51303,                0.56207,                 0.3786,                0.97153,                0.69939,                 1.0173,             1.8921e-05,             1.8921e-05,             1.8921e-05
                    120,                0.69537,                0.38837,                0.87329,                0.66518,                0.51404,                0.56131,                0.37804,                0.97171,                0.69992,                 1.0177,              1.303e-05,              1.303e-05,              1.303e-05
